osm-id	version	latitudine	longitudine	road	house-number	suburb	district	city	county	state	post-code	country	cc	continent	amenity	brand	car	cu-code	cu-recharge	cu-state	elapsed-time	enel-name	enel-post-code	name	region	serial-number	usage-level	zona
4295717831	7	44.6472	10.937284	Via Ciro Menotti				Modena			41122	Italia	IT	European Union	charging_station	Enel	yes	HERA_00000020	FINISHED	ACTIVE	0	Menotti	41122	HERA_00000020	Emilia Romagna	N.11ZP21T2B01C000021	0	Modena
4295717832	7	43.1142	12.384	Via Alessandro Pascoli				Perugia			6123	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000477	FINISHED	ACTIVE	0	Pascoli	6123	ENEL_00000477	Umbria	N.11EP21T2301C000004	0	Perugia
4295717833	7	44.04849	12.565892	Via della Fiera				Rimini			47923	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000536	FINISHED	ACTIVE	0	Fiera1	47923	ENEL_00000536	Emilia Romagna	N.12EP21T2301H000041	0	Rimini
4295717834	7	43.7117	10.397013	Via Francesco Crispi				Pisa			56125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000541	FINISHED	ACTIVE	0	Crispi	56100	ENEL_00000541	Tuscany	N.11EP21T2302C000177	0	Pisa
		41.900124	12.47512	Largo G. Toniolo				Roma			188	Italia	IT	European Union	charging_station	Enel	yes	EnEnergia_00000013	FINISHED	MAINTENANCE	0	Toniolo	186	EnEnergia_00000013	Lazio	N.13CP21T2B01H000012	0	Rome
4295717835	7	41.11838	16.8706	Piazza Aldo Moro				Bari			70121	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000591	FINISHED	ACTIVE	0	3 Aldo Moro	70122	ENEL_00000591	Puglia	N.13EP21T2301H000011	0	Bari
4295717836	7	43.71159	10.397086	Via Francesco Crispi				Pisa			56125	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000032	FINISHED	ACTIVE	0	via Crispi 72	0	ENEL_00000032	Tuscany	N.10EP21T2302A000035	0	Pisa
4295717837	7	44.70592	10.62578	Viale Regina Elena				Reggio nell'Emilia			42124	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000490	FINISHED	ACTIVE	0	Regina Elena 1	42124	ENEL_00000490	Emilia Romagna	N.11EP21T2302E000225	0	Reggio Emilia
		44.64493	10.955375	Viale Dello Sport				Modena			41122	Italia	IT	European Union	charging_station	Enel	yes	HERA_00000013	FINISHED	MAINTENANCE	0	Dello Sport	41122	HERA_00000013	Emilia Romagna	N.11ZP21T2B01C000010	0	Modena
4295717838	7	44.697266	10.642405	Piazzale Marconi				Reggio nell'Emilia			42122	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000346	FINISHED	ACTIVE	0	Marconi1	0	ENEL_00000346	Emilia Romagna	N.11EP21T2302E000216	0	Reggio Emilia
4295717839	7	44.699505	10.64327	Piazzale Europa				Reggio nell'Emilia			42122	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000408	FINISHED	ACTIVE	0	REGPiazzaleEuropa2	42124	ENEL_00000408	Emilia Romagna	N.11EP21T2302E000233	0	Reggio Emilia
4295717840	7	43.1	12.36	Via del Tabacchificio				Perugia			6126	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000470	FINISHED	ACTIVE	0	TABACCHIFICIO	6124	ENEL_00000470	Umbria	N.11EP21T2301C000037	0	Perugia
4295717841	7	44.40707	8.94605	Piazza Giuseppe Verdi				Genova			16122	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000511	FINISHED	ACTIVE	0	AEEG 242 6 Verdi	0	ENEL_00000511	Liguria	N.12EP21T2301H000037	0	Genova
4295717842	7	44.69987	10.626468	Piazza Gioberti				Reggio nell'Emilia			42124	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000450	FINISHED	ACTIVE	0	Gioberti 1 prima	42121	ENEL_00000450	Emilia Romagna	N.11EP21T2302E000219	0	Reggio Emilia
		44.64831	10.92844	Piazza Roma				Modena			41122	Italia	IT	European Union	charging_station	Enel	yes	HERA_00000002	FINISHED	MAINTENANCE	0	Piazza Roma 3	0	HERA_00000002	Emilia Romagna	N.11ZP21T2B01C000003	0	Modena
4295717843	7	43.70982	10.40934	Via Matteotti				Pisa			56127	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000333	FINISHED	ACTIVE	0	Matteotti 1	56124	ENEL_00000333	Tuscany	N.11EP21T2301C000007	0	Pisa
4295717844	7	41.869125	12.495768	Via Cristoforo Colombo				Roma			154	Italia	IT	European Union	charging_station	Enel	yes	ENEL_00000476	FINISHED	ACTIVE	0	Via Cristoforo Colombo	154	ENEL_00000476	Lazio	N.11CP21T2B01C000024	0	Rome
